[2026-04-27 12:35:47.564] INFO: New database created {"path":"C:\\Projects\\NoiseCancellingAlertSystem\\smart-alert-backend-v2\\data\\smart_alert.db"}
[2026-04-27 12:35:47.594] INFO: Database migrations complete
[2026-04-27 12:35:47.596] INFO: WebSocket server ready on /ws
[2026-04-27 12:35:47.599] INFO: Smart Alert backend running {"port":3001,"env":"development","ws":"ws://localhost:3001/ws"}
[2026-04-27 13:04:46.248] INFO: Database loaded from disk {"path":"C:\\Projects\\NoiseCancellingAlertSystem\\smart-alert-backend-v2\\data\\smart_alert.db"}
[2026-04-27 13:04:46.262] INFO: Database migrations complete
[2026-04-27 13:04:46.263] INFO: WebSocket server ready on /ws
[2026-04-27 13:04:46.265] INFO: Smart Alert backend running {"port":3001,"env":"development","ws":"ws://localhost:3001/ws"}
[2026-04-27 19:34:58.051] INFO: Database loaded from disk {"path":"C:\\Projects\\NoiseCancellingAlertSystem\\smart-alert-backend-v2\\data\\smart_alert.db"}
[2026-04-27 19:34:58.066] INFO: Database migrations complete
[2026-04-27 19:34:58.072] INFO: WebSocket server ready on /ws
[2026-04-27 19:34:58.075] INFO: Smart Alert backend running {"port":3001,"env":"development","ws":"ws://localhost:3001/ws"}
[2026-04-27 19:36:36.751] INFO: User registered {"userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6","username":"smruti"}
[2026-04-27 19:36:44.490] INFO: Session started {"sessionId":"bf3234b9-e84d-4eeb-b7ea-47d5fe4f250c","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:37:55.399] INFO: Session started {"sessionId":"5ca083e3-5412-46fb-910b-b14f5f790cf8","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:39:46.081] INFO: Session started {"sessionId":"05328f1f-16d0-4927-ba50-5cefa11063d9","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:39:47.349] INFO: Session started {"sessionId":"5039bc2d-ad7d-4e42-a920-648d2ee79acb","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:41:00.236] INFO: Session started {"sessionId":"73ff6787-cd64-4439-86b7-b1daefb59b35","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:41:17.455] INFO: Session started {"sessionId":"2d2e6306-eabe-443e-ad72-4edad7967272","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:41:19.856] INFO: Session started {"sessionId":"6579cb93-0db3-443b-ae87-c389e202519c","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:41:21.397] INFO: Session started {"sessionId":"18de6eb9-8c1f-46c5-aa92-b140f5a9fdce","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:42:06.974] INFO: Session started {"sessionId":"7092e8d1-c986-4d07-b178-794eb38bb92b","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:42:48.585] INFO: Session started {"sessionId":"e335f21e-ec46-4cdb-9f5f-bb80167231ac","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:43:29.641] INFO: Session started {"sessionId":"a656dabc-d9e9-4c68-b62e-2f1b5bb81a8d","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:43:30.841] INFO: Session started {"sessionId":"85dda1b1-f561-4c80-acb1-caa690ae7f50","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:43:32.063] INFO: Session started {"sessionId":"b3ddf791-9fa1-4370-8c40-952fef5a8668","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
[2026-04-27 19:43:32.973] INFO: Session started {"sessionId":"83d049e4-6758-4926-b432-5814ee96bb40","userId":"7f4ff199-fc47-44e7-b36f-3f0b23c924e6"}
